# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
10
BLANK_GEOMS,13
# Name, xLoc, yLoc, zLoc, Mass, GeomID
Passengers,3.215000,0.000000,0.000000,500.000000,AYWKAIHEMY
MotorPropMidRR,5.200000,2.000000,0.600000,25.000000,RVGMNNVEIN
MotorPropMidFL,3.300000,-2.000000,0.600000,25.000000,SVDMEUOLQT
MotorPropMidRL,5.200000,-2.000000,0.600000,25.000000,WTFHNONIYQ
MotorPropMidFR,3.300000,2.000000,0.600000,25.000000,LIQYEGAXES
MotorPropTopR,7.100000,2.220000,1.800000,25.000000,QHKNXKXYIH
MotorPropTopL,7.100000,-2.220000,1.800000,25.000000,CPGHMUORIS
MotorPropBotL,1.600000,-1.500000,-0.300000,25.000000,CUUGEGHWTD
MotorPropBotR,1.600000,1.500000,-0.300000,25.000000,WWAQPXKQHQ
Turbogenerator,4.500000,0.000000,-0.100000,66.300000,CLEWADNDXR
Batteries,1.800000,0.000000,-0.500000,297.000000,ZWZRLDGEMK
R_FW_Motor,4.200000,5.200000,1.750000,25.000000,CTLRMAWIYV
L_FW_Motor,4.200000,-5.200000,1.750000,25.000000,WDUVDRNYQD
# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,Fuselage,0,COBWICBHMW,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,43,17
# x,y,z,u,w
1.509952336827422026e-01, -3.726587266202794485e-02, 1.082621028943477615e-01, 7.142857142857142461e-02, 2.750000000000000000e+00
1.535220181108895021e-01, -2.008587255055944577e-17, 1.155138912569068643e-01, 7.142857142857142461e-02, 3.000000000000000000e+00
1.509952336827422026e-01, 3.726587266202789628e-02, 1.082621028943477615e-01, 7.142857142857142461e-02, 3.250000000000000000e+00
1.416771322394551058e-01, 6.705243219507631136e-02, 8.654963135200714752e-02, 7.142857142857142461e-02, 3.500000000000000000e+00
1.229610915427603868e-01, 8.680084551208380739e-02, 5.044081694788962039e-02, 7.142857142857142461e-02, 3.750000000000000000e+00
9.224048935439040087e-02, 9.395227952598889098e-02, 0.000000000000000000e+00, 7.142857142857142461e-02, 4.000000000000000000e+00
2.077536270703003729e-01, 1.795084613779441285e-01, 0.000000000000000000e+00, 1.428571428571428492e-01, 0.000000000000000000e+00
1.346517482215611183e-01, 1.676434143485394657e-01, -1.128370130881449496e-01, 1.428571428571428492e-01, 2.500000000000000000e-01
5.710781490760812040e-02, 1.329092975180362901e-01, -2.077022704752224669e-01, 1.428571428571428492e-01, 5.000000000000000000e-01
-4.420695299946219431e-03, 7.659764727300102938e-02, -2.730721102840610870e-01, 1.428571428571428492e-01, 7.500000000000000000e-01
-2.947630482948932276e-02, 0.000000000000000000e+00, -2.974228706374897890e-01, 1.428571428571428492e-01, 1.000000000000000000e+00
-4.420695299946205553e-03, -7.659764727300102938e-02, -2.730721102840610870e-01, 1.428571428571428492e-01, 1.250000000000000000e+00
5.710781490760806489e-02, -1.329092975180362901e-01, -2.077022704752224114e-01, 1.428571428571428492e-01, 1.500000000000000000e+00
1.346517482215610628e-01, -1.676434143485394102e-01, -1.128370130881449773e-01, 1.428571428571428492e-01, 1.750000000000000000e+00
2.077536270703003174e-01, -1.795084613779441285e-01, -2.330497311166509742e-17, 1.428571428571428492e-01, 2.000000000000000000e+00
2.601058958883510352e-01, -1.675877950081436363e-01, 1.005121738791955599e-01, 1.428571428571428492e-01, 2.250000000000000000e+00
2.920006871347893274e-01, -1.327609792769808283e-01, 1.682627850065843422e-01, 1.428571428571428492e-01, 2.500000000000000000e+00
3.078800552748288677e-01, -7.643078925181365224e-02, 2.065179785557343384e-01, 1.428571428571428492e-01, 2.750000000000000000e+00
3.121860547736834413e-01, -3.422917925775810279e-17, 2.185438997002137340e-01, 1.428571428571428492e-01, 3.000000000000000000e+00
3.078800552748288677e-01, 7.643078925181356897e-02, 2.065179785557343384e-01, 1.428571428571428492e-01, 3.250000000000000000e+00
2.920006871347893829e-01, 1.327609792769807728e-01, 1.682627850065843422e-01, 1.428571428571428492e-01, 3.500000000000000000e+00
2.601058958883510908e-01, 1.675877950081436085e-01, 1.005121738791955599e-01, 1.428571428571428492e-01, 3.750000000000000000e+00
2.077536270703003729e-01, 1.795084613779441285e-01, 0.000000000000000000e+00, 1.428571428571428492e-01, 4.000000000000000000e+00
3.433548586096536459e-01, 2.568985262563415195e-01, 0.000000000000000000e+00, 2.142857142857142738e-01, 0.000000000000000000e+00
2.512160321440552457e-01, 2.424128452349043061e-01, -1.652095339019156728e-01, 2.142857142857142738e-01, 2.500000000000000000e-01
1.534783661962603463e-01, 1.968618330111473191e-01, -2.945975843213421985e-01, 2.142857142857142738e-01, 5.000000000000000000e-01
7.592680645548872953e-02, 1.171045358459019969e-01, -3.789716108629247460e-01, 2.142857142857142738e-01, 7.500000000000000000e-01
